CitizenKey,SyntheticCitizenID,SyntheticName,Country,Age,Phone,Email,AddressLine,City,Postcode,Notes,HasCriminalRecord,RecordType,RecordStatus,Severity,OfficerReviewRequired,HasOutstandingFines,UnpaidFineCount,TotalUnpaidAmount
48,VN9284084292,Anh Hoang,Vietnam,56,+84270287568,user48@demo.local,684 Demo Street,Johor Bahru,68652,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Assault (Minor),Pending Court,Medium,TRUE,FALSE,0,0
49,VN1427824718,Farah Omar,Vietnam,57,+84085688308,user49@demo.local,930 Demo Street,Hanoi,05179,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Assault (Minor),Under Review,Medium,TRUE,TRUE,3,312
50,MY8424073374,Jia Vu,Malaysia,22,+60371930230,user50@demo.local,429 Demo Street,Penang,66513,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
51,MY9994190716,Kumar Lim,Malaysia,49,+60816874976,user51@demo.local,799 Demo Street,Kota Kinabalu,47276,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Fraud (Minor),Under Review,Medium,TRUE,FALSE,0,0
52,MY1072234466,Nur Hoang,Malaysia,59,+60980897186,user52@demo.local,16 Demo Street,Johor Bahru,09621,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
53,VN2731971867,Jia Chan,Vietnam,70,+84781657485,user53@demo.local,271 Demo Street,Penang,21404,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,101
54,VN4458084568,Nur Rahman,Vietnam,60,+84490660669,user54@demo.local,339 Demo Street,Kota Kinabalu,95480,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,3,348
55,MY1063759232,Minh Lee,Malaysia,56,+60284525967,user55@demo.local,339 Demo Street,HCMC,32567,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,223
56,VN7850301966,Suresh Zainal,Vietnam,41,+84966665626,user56@demo.local,469 Demo Street,Johor Bahru,71107,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Minor Traffic Offense,Under Review,Low,TRUE,TRUE,1,85
57,VN8137810055,Minh Yusof,Vietnam,39,+84501859403,user57@demo.local,607 Demo Street,Johor Bahru,94416,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
58,VN1006190810,Kumar Wong,Vietnam,73,+84271077870,user58@demo.local,644 Demo Street,KL,74929,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,111
59,VN0866336986,Siti Hassan,Vietnam,16,+84974191918,user59@demo.local,489 Demo Street,Penang,74273,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,179
60,MY6685870185,Duy Ismail,Malaysia,19,+60337246321,user60@demo.local,943 Demo Street,Kota Kinabalu,77218,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
61,VN9757455437,Kumar Lim,Vietnam,33,+84303795035,user61@demo.local,550 Demo Street,Kota Kinabalu,30352,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
62,MY5220825378,Duy Tran,Malaysia,46,+60948340302,user62@demo.local,622 Demo Street,Hanoi,02855,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,2,414
63,VN9204561839,Aina Le,Vietnam,32,+84003748886,user63@demo.local,945 Demo Street,Hanoi,70320,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
64,MY4199202399,Minh Tan,Malaysia,27,+60776901796,user64@demo.local,306 Demo Street,KL,57132,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
65,VN4121607109,Duy Le,Vietnam,39,+84988140986,user65@demo.local,464 Demo Street,Da Nang,32133,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,2,429
66,VN7518241283,Tuan Tan,Vietnam,27,+84439190862,user66@demo.local,489 Demo Street,Kota Kinabalu,22239,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,245
67,VN2341891645,Amir Hoang,Vietnam,75,+84479230421,user67@demo.local,864 Demo Street,HCMC,52168,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
68,MY2267852074,Kumar Tran,Malaysia,64,+60532690471,user68@demo.local,682 Demo Street,Da Nang,25907,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
69,VN5451788373,Arjun Tran,Vietnam,38,+84217408120,user69@demo.local,634 Demo Street,HCMC,13590,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
70,VN0555718701,Farah Wong,Vietnam,32,+84521415815,user70@demo.local,765 Demo Street,Penang,18934,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Public Nuisance,Under Review,Low,TRUE,FALSE,0,0
71,VN9034878593,Aina Chan,Vietnam,41,+84059924635,user71@demo.local,71 Demo Street,Da Nang,45019,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
72,MY0990869668,Minh Kaur,Malaysia,56,+60110201310,user72@demo.local,983 Demo Street,KL,90594,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
73,VN2422058656,Kiet Chan,Vietnam,72,+84745643225,user73@demo.local,393 Demo Street,KL,39193,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
74,MY2820056365,Aiman Hassan,Malaysia,47,+60712971336,user74@demo.local,632 Demo Street,KL,88577,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Assault (Minor),Pending Court,Medium,TRUE,FALSE,0,0
75,MY7791807549,Hafiz Hoang,Malaysia,33,+60478634472,user75@demo.local,401 Demo Street,KL,53378,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
76,MY4131550938,Duy Ahmad,Malaysia,40,+60249005497,user76@demo.local,552 Demo Street,KL,95563,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,3,397
77,MY5396503455,Kiet Rahman,Malaysia,18,+60446935813,user77@demo.local,77 Demo Street,Kota Kinabalu,31623,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Drug Offense (Minor),Closed,High,TRUE,TRUE,1,274
78,MY1255116639,Wei Tran,Malaysia,56,+60600759300,user78@demo.local,31 Demo Street,HCMC,17588,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Drug Offense (Minor),Under Review,High,TRUE,FALSE,0,0
79,VN1615500944,Haziq Tran,Vietnam,52,+84665122068,user79@demo.local,971 Demo Street,KL,01602,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
80,MY7002215108,Aiman Lee,Malaysia,53,+60428906654,user80@demo.local,409 Demo Street,Johor Bahru,47213,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Public Nuisance,Pending Court,Low,TRUE,FALSE,0,0
81,VN9251534018,Nur Chan,Vietnam,16,+84212206317,user81@demo.local,95 Demo Street,HCMC,28148,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,246
82,VN3246524286,Hao Tan,Vietnam,26,+84549545176,user82@demo.local,94 Demo Street,KL,87707,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Minor Traffic Offense,Closed,Low,FALSE,FALSE,0,0
83,VN0767218098,Arjun Lee,Vietnam,35,+84170283384,user83@demo.local,644 Demo Street,Johor Bahru,81206,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Assault (Minor),Under Review,Medium,TRUE,TRUE,1,110
84,MY4662836119,Kumar Lim,Malaysia,73,+60700113303,user84@demo.local,654 Demo Street,HCMC,52459,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
85,MY0872086021,Suresh Ahmad,Malaysia,75,+60297063782,user85@demo.local,93 Demo Street,Da Nang,94967,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
86,MY0645917078,Nga Vu,Malaysia,48,+60596520342,user86@demo.local,319 Demo Street,HCMC,17622,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,2,346
87,MY9328153857,Tuan Hoang,Malaysia,24,+60547812320,user87@demo.local,288 Demo Street,Da Nang,17413,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
88,MY3100970795,Linh Yusof,Malaysia,52,+60947330267,user88@demo.local,717 Demo Street,Da Nang,60703,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
89,VN3958617363,Wei Hassan,Vietnam,34,+84335382056,user89@demo.local,840 Demo Street,Johor Bahru,40247,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
90,MY5061490041,Kumar Hassan,Malaysia,54,+60088742654,user90@demo.local,347 Demo Street,Hanoi,46891,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
91,MY4531034998,Aina Kaur,Malaysia,16,+60680662594,user91@demo.local,663 Demo Street,HCMC,23801,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,2,362
92,MY0635455311,Kiet Chan,Malaysia,60,+60728616724,user92@demo.local,555 Demo Street,KL,67958,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,295
93,VN4857719718,Aina Chan,Vietnam,67,+84195717023,user93@demo.local,16 Demo Street,Johor Bahru,52274,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
94,VN9217338870,Nga Pham,Vietnam,55,+84255348333,user94@demo.local,618 Demo Street,Hanoi,09236,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
95,VN9474021986,Trang Wong,Vietnam,69,+84856890315,user95@demo.local,895 Demo Street,Hanoi,80186,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
96,MY4183860328,Hafiz Kaur,Malaysia,69,+60013453305,user96@demo.local,342 Demo Street,HCMC,04901,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Administrative Violation,Pending Court,Low,TRUE,FALSE,0,0
97,VN3093551699,Linh Vo,Vietnam,33,+84766327896,user97@demo.local,312 Demo Street,Kota Kinabalu,33828,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
98,MY0339432231,Anh Omar,Malaysia,37,+60437951725,user98@demo.local,675 Demo Street,Da Nang,01953,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
99,MY3748048220,Tuan Tan,Malaysia,45,+60200482502,user99@demo.local,59 Demo Street,HCMC,60883,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Minor Traffic Offense,Closed,Low,FALSE,TRUE,1,147
100,VN1586923764,Jia Ahmad,Vietnam,16,+84187067939,user100@demo.local,895 Demo Street,Hanoi,03634,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Minor Traffic Offense,Closed,Low,FALSE,TRUE,3,513
